composer,title,ref_notes,est_notes,missed,spurious
Domenico Scarlatti,Sonata K. 525,882,854,43,15
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",860,860,12,12
Sergei Rachmaninoff,Prelude Op. 32 No. 8 in A Minor,1400,1386,24,10
Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,1110,1111,12,13
Frédéric Chopin,Etudes Op. 10 Nos. 9,1256,1235,34,13
Sergei Rachmaninoff,"Prelude in G-Sharp Minor,Op. 32 No. 12",1628,1574,73,19
Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps""",1897,1867,75,45
Frédéric Chopin,Etude Op. 10 No. 12,2124,2078,65,19
Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",783,770,25,12
Domenico Scarlatti,"Sonata in D Major, K. 118",1376,1371,6,1
Frédéric Chopin,Etude Op. 10 No. 12 in C Minor,2134,2043,115,24
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",1770,1746,46,22
Domenico Scarlatti,"Sonata in D Major, K96",1732,1728,18,14
Domenico Scarlatti,"Sonata in A Major, K. 208",505,505,1,1
Frédéric Chopin,Etude Op. 10 No. 12,2089,2046,58,15
